join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
1999,2007,8,111,5148,2.16,405,30752,1.32,3,3.3222222222222222
1999,2008,9,92,5148,1.79,248,30752,0.81,2,3.3568548387096774
2000,2000,0,6828,6828,100.00,44707,44707,100.00,6,3.5433601002080211
2000,2001,1,830,6828,12.16,3639,44707,8.14,4,3.3580654025831272
2000,2002,2,491,6828,7.19,1953,44707,4.37,3,3.3225806451612903
2000,2003,3,403,6828,5.90,2055,44707,4.60,5,3.3406326034063260
2000,2004,4,338,6828,4.95,1700,44707,3.80,5,3.3932352941176471
2000,2005,5,266,6828,3.90,991,44707,2.22,3,3.4182643794147326
2000,2006,6,195,6828,2.86,662,44707,1.48,3,3.3247734138972810
2000,2007,7,129,6828,1.89,433,44707,0.97,3,3.4353348729792148
2000,2008,8,125,6828,1.83,369,44707,0.83,2,3.4214092140921409
2001,2001,0,3934,3934,100.00,24396,24396,100.00,6,3.5194704049844237
2001,2002,1,471,3934,11.97,2089,24396,8.56,4,3.3719483006223073
2001,2003,2,308,3934,7.83,1654,24396,6.78,5,3.4337968561064087
2001,2004,3,240,3934,6.10,1353,24396,5.55,5,3.4685883222468588
2001,2005,4,179,3934,4.55,689,24396,2.82,3,3.5087082728592163
2001,2006,5,131,3934,3.33,412,24396,1.69,3,3.3143203883495146
2001,2007,6,97,3934,2.47,250,24396,1.02,2,3.3920000000000000
2001,2008,7,65,3934,1.65,223,24396,0.91,3,3.3497757847533632
2002,2002,0,2579,2579,100.00,17811,17811,100.00,6,3.4304643198023693
2002,2003,1,402,2579,15.59,2152,17811,12.08,5,3.3424721189591078
2002,2004,2,263,2579,10.20,1498,17811,8.41,5,3.3064085447263017
2002,2005,3,184,2579,7.13,686,17811,3.85,3,3.3454810495626822
2002,2006,4,109,2579,4.23,404,17811,2.27,3,3.3403465346534653
2002,2007,5,88,2579,3.41,267,17811,1.50,3,3.2659176029962547
2002,2008,6,74,2579,2.87,244,17811,1.37,3,3.2336065573770492
2003,2003,0,2993,2993,100.00,20163,20163,100.00,6,3.4322521450181025
2003,2004,1,538,2993,17.98,3287,20163,16.30,6,3.3459081229084271
2003,2005,2,297,2993,9.92,1196,20163,5.93,4,3.3607859531772575
2003,2006,3,193,2993,6.45,753,20163,3.73,3,3.1965471447543161
2003,2007,4,127,2993,4.24,426,20163,2.11,3,3.3004694835680751
2003,2008,5,108,2993,3.61,329,20163,1.63,3,3.2006079027355623
2004,2004,0,2981,2981,100.00,21717,21717,100.00,7,3.3559883961873187
2004,2005,1,454,2981,15.23,2015,21717,9.28,4,3.3064516129032258
2004,2006,2,265,2981,8.89,964,21717,4.44,3,3.2842323651452282
2004,2007,3,178,2981,5.97,556,21717,2.56,3,3.4109712230215827
2004,2008,4,119,2981,3.99,348,21717,1.60,2,3.3591954022988506
2005,2005,0,5221,5221,100.00,41061,41061,100.00,7,3.3443048147877548
2005,2006,1,637,5221,12.20,2666,41061,6.49,4,3.3019504876219055
2005,2007,2,371,5221,7.11,1259,41061,3.07,3,3.2756155679110405
2005,2008,3,255,5221,4.88,869,41061,2.12,3,3.3935558112773303
2006,2006,0,3420,3420,100.00,23585,23585,100.00,6,3.4028195887216451
2006,2007,1,455,3420,13.30,1982,23585,8.40,4,3.1962663975782038
2006,2008,2,267,3420,7.81,1029,23585,4.36,3,3.2993197278911565
2007,2007,0,3003,3003,100.00,20825,20825,100.00,6,3.3945498199279712
2007,2008,1,409,3003,13.62,1942,20825,9.33,4,3.3305870236869207
2008,2008,0,3743,3743,100.00,22974,22974,100.00,6,3.4615217202054496
