join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
2002,2002,0,1488,1488,100.00,3670,3670,100.00,2,3.4119891008174387
2002,2003,1,167,1488,11.22,334,3670,9.10,2,3.3502994011976048
2002,2004,2,110,1488,7.39,227,3670,6.19,2,3.2621145374449339
2002,2005,3,79,1488,5.31,127,3670,3.46,1,3.3818897637795276
2002,2006,4,48,1488,3.23,72,3670,1.96,1,3.4097222222222222
2002,2007,5,31,1488,2.08,48,3670,1.31,1,3.3020833333333333
2002,2008,6,25,1488,1.68,32,3670,0.87,1,3.2500000000000000
2003,2003,0,1724,1724,100.00,4350,4350,100.00,2,3.4321839080459770
2003,2004,1,227,1724,13.17,459,4350,10.55,2,3.2080610021786492
2003,2005,2,130,1724,7.54,225,4350,5.17,1,3.4888888888888889
2003,2006,3,80,1724,4.64,132,4350,3.03,1,3.1856060606060606
2003,2007,4,57,1724,3.31,82,4350,1.89,1,3.5243902439024390
2003,2008,5,30,1724,1.74,46,4350,1.06,1,3.5108695652173913
2004,2004,0,1907,1907,100.00,4891,4891,100.00,2,3.3381721529339603
2004,2005,1,208,1907,10.91,396,4891,8.10,1,3.3838383838383838
2004,2006,2,101,1907,5.30,168,4891,3.43,1,3.4285714285714286
2004,2007,3,63,1907,3.30,97,4891,1.98,1,3.4845360824742268
2004,2008,4,38,1907,1.99,47,4891,0.96,1,3.5957446808510638
2005,2005,0,3317,3317,100.00,9039,9039,100.00,2,3.3322823321163846
2005,2006,1,244,3317,7.36,437,9039,4.83,1,3.2700228832951945
2005,2007,2,125,3317,3.77,196,9039,2.17,1,3.2066326530612245
2005,2008,3,71,3317,2.14,103,9039,1.14,1,3.4611650485436893
2006,2006,0,2123,2123,100.00,5378,5378,100.00,2,3.3431573075492748
2006,2007,1,152,2123,7.16,295,5378,5.49,1,3.1915254237288136
2006,2008,2,95,2123,4.47,166,5378,3.09,1,3.2349397590361446
2007,2007,0,1918,1918,100.00,4834,4834,100.00,2,3.3464004964832437
2007,2008,1,166,1918,8.65,330,4834,6.83,1,3.2136363636363636
2008,2008,0,2273,2273,100.00,5561,5561,100.00,2,3.4139543247617335
