join_year,rating_year,year_diff,user_retention,first_year_cohort_size,percentual_retention,rating_number,first_year_rating_number,percentual_rating_number,rating_per_user,average_rating
2002,2007,5,118,2914,4.05,853,44278,1.93,7.2288135593220339,3.4196951934349355
2002,2008,6,106,2914,3.64,659,44278,1.49,6.2169811320754717,3.4332321699544765
2003,2003,0,3347,3347,100.00,49006,49006,100.00,14.6417687481326561,3.4865424641880586
2003,2004,1,640,3347,19.12,7929,49006,16.18,12.3890625000000000,3.4180224492369782
2003,2005,2,352,3347,10.52,3074,49006,6.27,8.7329545454545455,3.4838972023422251
2003,2006,3,248,3347,7.41,2096,49006,4.28,8.4516129032258065,3.3356393129770992
2003,2007,4,174,3347,5.20,1210,49006,2.47,6.9540229885057471,3.3677685950413223
2003,2008,5,157,3347,4.69,1023,49006,2.09,6.5159235668789809,3.3685239491691105
2004,2004,0,3226,3226,100.00,53005,53005,100.00,16.4305641661500310,3.4239600037732289
2004,2005,1,572,3226,17.73,5260,53005,9.92,9.1958041958041958,3.4105513307984791
2004,2006,2,340,3226,10.54,2539,53005,4.79,7.4676470588235294,3.4064592359196534
2004,2007,3,242,3226,7.50,1575,53005,2.97,6.5082644628099174,3.5238095238095238
2004,2008,4,171,3226,5.30,1088,53005,2.05,6.3625730994152047,3.4545036764705882
2005,2005,0,5659,5659,100.00,100863,100863,100.00,17.8234670436472875,3.4274461398134103
2005,2006,1,817,5659,14.44,7103,100863,7.04,8.6940024479804162,3.4019428410530762
2005,2007,2,505,5659,8.92,3495,100863,3.47,6.9207920792079208,3.3818311874105866
2005,2008,3,353,5659,6.24,2437,100863,2.42,6.9036827195467422,3.4632745178498153
2006,2006,0,3845,3845,100.00,59439,59439,100.00,15.4587776332899870,3.4801224785073773
2006,2007,1,623,3845,16.20,5608,59439,9.43,9.0016051364365971,3.3279243937232525
2006,2008,2,372,3845,9.67,2750,59439,4.63,7.3924731182795699,3.4281818181818182
2007,2007,0,3358,3358,100.00,54078,54078,100.00,16.1042287075640262,3.4863345537926698
2007,2008,1,583,3358,17.36,5549,54078,10.26,9.5180102915951973,3.4713461885024329
2008,2008,0,4227,4227,100.00,60684,60684,100.00,14.3562810503903478,3.5615565882275394
